,State,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,city,city_ascii,state_name,county_fips,county_name,population,density,source,incorporated,ranking,isMetro,areaname,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,taxes,total_cost,median_family_income
108,IDAHO,BOISE,"231,314",649,4.0,164,44,437,"3,653",470,"2,952",231,BOISE,Boise,IDAHO,16001,ADA,389280,1056,polygon,True,2,True,"Boise City, ID HUD Metro FMR Area",2p2c,12517.956,10463.7678,14737.1544,14178.9768,8327.18484,9471.39036,85168.5648,87161.1015625
118,IDAHO,GARDEN CITY,"12,033",53,0.0,7,3,43,268,50,203,15,GARDEN CITY,Garden City,IDAHO,16001,ADA,11969,1132,polygon,True,3,True,"Boise City, ID HUD Metro FMR Area",2p2c,12517.956,10463.7678,14737.1544,14178.9768,8327.18484,9471.39036,85168.5648,87161.1015625
128,IDAHO,MERIDIAN,"111,196",177,4.0,48,7,118,"1,188",182,964,42,MERIDIAN,Meridian,IDAHO,16001,ADA,114161,1297,polygon,True,2,True,"Boise City, ID HUD Metro FMR Area",2p2c,12517.956,10463.7678,14737.1544,14178.9768,8327.18484,9471.39036,85168.5648,87161.1015625
136,OKLAHOMA,STILWELL,"4,054",21,0.0,2,2,17,146,28,102,16,STILWELL,Stilwell,OKLAHOMA,40001,ADAIR,4060,483,polygon,True,3,False,"Adair County, OK",2p2c,8736.0,8874.71412,14612.6268,16488.9648,6381.0564,8011.41432,76734.522,44935.9609375
176,OKLAHOMA,WESTVILLE,"1,543",8,0.0,1,0,7,64,17,45,2,WESTVILLE,Westville,OKLAHOMA,40001,ADAIR,1551,493,polygon,True,3,False,"Adair County, OK",2p2c,8736.0,8874.71412,14612.6268,16488.9648,6381.0564,8011.41432,76734.522,44935.9609375
216,OKLAHOMA,WATTS,310,1,0.0,0,0,1,2,2,0,0,WATTS,Watts,OKLAHOMA,40001,ADAIR,313,311,polygon,True,3,False,"Adair County, OK",2p2c,8736.0,8874.71412,14612.6268,16488.9648,6381.0564,8011.41432,76734.522,44935.9609375
256,KENTUCKY,COLUMBIA,"4,645",4,0.0,2,1,1,26,12,11,3,COLUMBIA,Columbia,KENTUCKY,21001,ADAIR,4734,367,polygon,True,3,False,"Adair County, OK",2p2c,8736.0,8874.71412,14612.6268,16488.9648,6381.0564,8011.41432,76734.522,44935.9609375
290,ILLINOIS,QUINCY,"39,954",243,3.0,54,12,174,"1,210",191,977,42,QUINCY,Quincy,ILLINOIS,17001,ADAMS,44466,981,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
410,WASHINGTON,OTHELLO,"8,388",7,0.0,2,1,4,145,27,91,27,OTHELLO,Othello,WASHINGTON,53001,ADAMS,12761,814,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
530,NEBRASKA,HASTINGS,"24,778",45,0.0,17,2,26,727,119,557,51,HASTINGS,Hastings,NEBRASKA,31001,ADAMS,24692,653,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
650,COLORADO,WESTMINSTER,"114,392",316,2.0,53,77,184,"3,713",376,"2,703",634,WESTMINSTER,Westminster,COLORADO,8001,ADAMS,113166,1383,polygon,True,2,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
770,COLORADO,THORNTON,"142,168",388,1.0,130,74,183,"4,303",393,"3,279",631,THORNTON,Thornton,COLORADO,8001,ADAMS,141464,1521,polygon,True,2,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
890,COLORADO,NORTHGLENN,"39,420",180,1.0,48,21,110,"1,229",119,868,242,NORTHGLENN,Northglenn,COLORADO,8001,ADAMS,38819,2038,polygon,True,2,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1010,WASHINGTON,RITZVILLE,"1,645",1,0.0,1,0,0,57,18,38,1,RITZVILLE,Ritzville,WASHINGTON,53001,ADAMS,1654,364,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1130,PENNSYLVANIA,MCSHERRYSTOWN,"3,091",2,0.0,0,0,2,1,0,1,0,MCSHERRYSTOWN,McSherrystown,PENNSYLVANIA,42001,ADAMS,3090,2331,polygon,True,2,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1250,COLORADO,BRIGHTON,"42,267",138,0.0,36,5,97,"1,119",93,859,167,BRIGHTON,Brighton,COLORADO,8001,ADAMS,41554,757,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1370,OHIO,WEST UNION,"3,153",3,0.0,0,0,3,21,7,11,3,WEST UNION,West Union,OHIO,39001,ADAMS,3161,431,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1490,COLORADO,AURORA,"380,600","2,799",28.0,438,638,"1,695","11,106","1,554","7,258","2,294",AURORA,Aurora,COLORADO,8001,ADAMS,379289,949,polygon,True,2,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1610,WISCONSIN,ADAMS,"1,886",9,0.0,6,1,2,67,4,60,3,ADAMS,Adams,WISCONSIN,55001,ADAMS,1893,248,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1730,PENNSYLVANIA,BONNEAUVILLE,"1,838",1,0.0,0,0,1,3,0,3,0,BONNEAUVILLE,Bonneauville,PENNSYLVANIA,42001,ADAMS,4519,734,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1850,PENNSYLVANIA,MIDWAY,875,1,0.0,0,0,1,0,0,0,0,MIDWAY,Midway,PENNSYLVANIA,42001,ADAMS,2062,1203,polygon,False,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
1970,COLORADO,COMMERCE CITY,"60,198",272,5.0,76,44,147,"1,845",212,"1,258",375,COMMERCE CITY,Commerce City,COLORADO,8001,ADAMS,60336,652,polygon,True,3,False,"Adams County, ID",2p2c,8808.0,9774.17796,16687.0272,14664.648,6733.05612,7333.70292,75814.8456,58539.3515625
2096,VERMONT,VERGENNES,"2,596",5,0.0,1,0,4,27,3,24,0,VERGENNES,Vergennes,VERMONT,50001,ADDISON,2586,402,polygon,True,3,False,"Addison County, VT",2p2c,12696.0,12772.3932,15598.1004,19291.3596,9228.20364,10665.81228,94350.1116,86721.6171875
2109,SOUTH CAROLINA,WAGENER,838,1,0.0,0,0,1,6,1,4,1,WAGENER,Wagener,SOUTH CAROLINA,45003,AIKEN,837,275,polygon,True,3,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2p2c,9034.97604,8574.89136,14740.5276,13654.7748,6380.74956,5278.49232,66924.234,64666.42578125
2119,SOUTH CAROLINA,BURNETTOWN,"2,751",1,0.0,0,0,1,23,5,15,3,BURNETTOWN,Burnettown,SOUTH CAROLINA,45003,AIKEN,2747,192,polygon,True,3,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2p2c,9034.97604,8574.89136,14740.5276,13654.7748,6380.74956,5278.49232,66924.234,64666.42578125
2129,SOUTH CAROLINA,NORTH AUGUSTA,"23,875",55,1.0,8,13,33,651,80,537,34,NORTH AUGUSTA,North Augusta,SOUTH CAROLINA,45003,AIKEN,23845,448,polygon,True,3,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2p2c,9034.97604,8574.89136,14740.5276,13654.7748,6380.74956,5278.49232,66924.234,64666.42578125
2139,SOUTH CAROLINA,NEW ELLENTON,"2,145",20,1.0,2,1,16,23,3,18,2,NEW ELLENTON,New Ellenton,SOUTH CAROLINA,45003,AIKEN,2151,187,polygon,True,3,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2p2c,9034.97604,8574.89136,14740.5276,13654.7748,6380.74956,5278.49232,66924.234,64666.42578125
2149,SOUTH CAROLINA,AIKEN,"30,922",178,4.0,23,32,119,"1,499",162,"1,239",98,AIKEN,Aiken,SOUTH CAROLINA,45003,AIKEN,30869,565,polygon,True,3,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2p2c,9034.97604,8574.89136,14740.5276,13654.7748,6380.74956,5278.49232,66924.234,64666.42578125
2159,SOUTH CAROLINA,JACKSON,"1,792",4,0.0,1,1,2,33,5,26,2,JACKSON,Jackson,SOUTH CAROLINA,45003,AIKEN,1803,199,polygon,True,3,True,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",2p2c,9034.97604,8574.89136,14740.5276,13654.7748,6380.74956,5278.49232,66924.234,64666.42578125
2163,FLORIDA,HIGH SPRINGS,"6,252",28,0.0,3,1,24,152,34,110,8,HIGH SPRINGS,High Springs,FLORIDA,12001,ALACHUA,6178,107,polygon,True,3,True,"Gainesville, FL MSA",2p2c,13119.5904,10463.7678,13750.0128,16241.3652,8545.18068,6629.36724,80490.768,77956.6328125
2173,FLORIDA,GAINESVILLE,"135,085",928,2.0,153,185,588,"4,712",501,"3,803",408,GAINESVILLE,Gainesville,FLORIDA,12001,ALACHUA,202335,820,polygon,True,2,True,"Gainesville, FL MSA",2p2c,13119.5904,10463.7678,13750.0128,16241.3652,8545.18068,6629.36724,80490.768,77956.6328125
2183,FLORIDA,ALACHUA,"10,070",41,0.0,4,7,30,230,32,191,7,ALACHUA,Alachua,FLORIDA,12001,ALACHUA,9899,105,polygon,True,3,True,"Gainesville, FL MSA",2p2c,13119.5904,10463.7678,13750.0128,16241.3652,8545.18068,6629.36724,80490.768,77956.6328125
2191,NORTH CAROLINA,BURLINGTON,"54,108",460,10.0,42,66,342,"2,490",534,"1,815",141,BURLINGTON,Burlington,NORTH CAROLINA,37001,ALAMANCE,131043,707,polygon,True,2,True,"Burlington, NC MSA",2p2c,10620.0,8964.65988,13447.17,13834.3992,7096.2942,7986.28128,75362.736,66801.1953125
2201,NORTH CAROLINA,MEBANE,"16,203",45,0.0,5,9,31,691,53,611,27,MEBANE,Mebane,NORTH CAROLINA,37001,ALAMANCE,16262,644,polygon,True,3,True,"Burlington, NC MSA",2p2c,10620.0,8964.65988,13447.17,13834.3992,7096.2942,7986.28128,75362.736,66801.1953125
2211,NORTH CAROLINA,ELON,"12,214",8,0.0,1,3,4,82,34,44,4,ELON,Elon,NORTH CAROLINA,37001,ALAMANCE,12232,1188,polygon,True,3,True,"Burlington, NC MSA",2p2c,10620.0,8964.65988,13447.17,13834.3992,7096.2942,7986.28128,75362.736,66801.1953125
2221,NORTH CAROLINA,HAW RIVER,"2,525",5,0.0,0,1,4,46,12,29,5,HAW RIVER,Haw River,NORTH CAROLINA,37001,ALAMANCE,2535,339,polygon,True,3,True,"Burlington, NC MSA",2p2c,10620.0,8964.65988,13447.17,13834.3992,7096.2942,7986.28128,75362.736,66801.1953125
2235,CALIFORNIA,OAKLAND,"434,036","5,520",78.0,372,"2,859","2,211","27,868","2,599","20,228","5,041",OAKLAND,Oakland,CALIFORNIA,6001,ALAMEDA,433031,2991,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2245,CALIFORNIA,FREMONT,"240,887",400,1.0,36,159,204,"4,523",547,"3,408",568,FREMONT,Fremont,CALIFORNIA,6001,ALAMEDA,241110,1201,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2255,CALIFORNIA,LIVERMORE,"91,418",193,2.0,30,39,122,"1,554",139,"1,279",136,LIVERMORE,Livermore,CALIFORNIA,6001,ALAMEDA,90923,1288,polygon,True,3,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2265,CALIFORNIA,BERKELEY,"122,788",618,0.0,74,369,175,"6,256",771,"4,993",492,BERKELEY,Berkeley,CALIFORNIA,6001,ALAMEDA,121363,4473,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2275,CALIFORNIA,EMERYVILLE,"12,380",166,0.0,12,114,40,"2,623",95,"2,415",113,EMERYVILLE,Emeryville,CALIFORNIA,6001,ALAMEDA,12086,3675,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2285,CALIFORNIA,SAN LEANDRO,"90,297",454,0.0,18,283,153,"4,105",375,"2,941",789,SAN LEANDRO,San Leandro,CALIFORNIA,6001,ALAMEDA,88815,2570,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2295,CALIFORNIA,PLEASANTON,"84,017",112,0.0,12,56,44,"1,632",149,"1,386",97,PLEASANTON,Pleasanton,CALIFORNIA,6001,ALAMEDA,81777,1307,polygon,True,3,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2305,CALIFORNIA,UNION CITY,"75,202",277,2.0,8,79,188,"1,718",192,"1,300",226,UNION CITY,Union City,CALIFORNIA,6001,ALAMEDA,74107,1474,polygon,True,3,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2315,CALIFORNIA,DUBLIN,"66,072",107,0.0,7,43,57,"1,259",114,"1,052",93,DUBLIN,Dublin,CALIFORNIA,6001,ALAMEDA,64826,1643,polygon,True,3,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2325,CALIFORNIA,NEWARK,"48,945",85,0.0,13,40,32,"1,399",187,"1,090",122,NEWARK,Newark,CALIFORNIA,6001,ALAMEDA,49149,1367,polygon,True,3,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2335,CALIFORNIA,ALBANY,"20,083",40,0.0,8,21,11,685,105,534,46,ALBANY,Albany,CALIFORNIA,6001,ALAMEDA,19696,4250,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2345,CALIFORNIA,PIEDMONT,"11,307",14,0.0,3,5,6,227,46,162,19,PIEDMONT,Piedmont,CALIFORNIA,6001,ALAMEDA,11135,2529,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2355,CALIFORNIA,HAYWARD,"161,588",552,5.0,54,275,218,"4,886",448,"3,197","1,241",HAYWARD,Hayward,CALIFORNIA,6001,ALAMEDA,159203,1349,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2365,CALIFORNIA,ALAMEDA,"78,907",162,0.0,7,94,61,"2,579",218,"1,958",403,ALAMEDA,Alameda,CALIFORNIA,6001,ALAMEDA,77624,2868,polygon,True,2,True,"Oakland-Fremont, CA HUD Metro FMR Area",2p2c,28474.3356,11902.90944,15203.7852,16801.494,14630.2692,18752.3976,123239.1,122820.71875
2378,COLORADO,ALAMOSA,"10,086",63,1.0,17,5,40,511,94,392,25,ALAMOSA,Alamosa,COLORADO,8003,ALAMOSA,10652,492,polygon,True,3,False,"Alamosa County, CO",2p2c,10140.0,10073.99928,14399.4504,13083.9516,7324.32936,7598.4924,74933.8188,49323.58984375
2386,NEW YORK,WATERVLIET,"9,954",44,0.0,5,7,32,198,25,162,11,WATERVLIET,Watervliet,NEW YORK,36001,ALBANY,9900,2840,polygon,True,2,True,"Albany-Schenectady-Troy, NY MSA",2p2c,13482.93,10853.53416,13704.0672,16336.5588,8818.06056,14309.196,104415.3636,97041.21875
2406,WYOMING,LARAMIE,"32,669",58,0.0,17,2,39,318,50,252,16,LARAMIE,Laramie,WYOMING,56001,ALBANY,33929,688,polygon,True,3,True,"Albany-Schenectady-Troy, NY MSA",2p2c,13482.93,10853.53416,13704.0672,16336.5588,8818.06056,14309.196,104415.3636,97041.21875
2426,NEW YORK,ALBANY,"97,221",736,4.0,60,189,483,"2,919",445,"2,315",159,ALBANY,Albany,NEW YORK,36001,ALBANY,586383,1740,polygon,True,2,True,"Albany-Schenectady-Troy, NY MSA",2p2c,13482.93,10853.53416,13704.0672,16336.5588,8818.06056,14309.196,104415.3636,97041.21875
2446,NEW YORK,COHOES,"16,717",37,2.0,5,3,27,153,14,127,12,COHOES,Cohoes,NEW YORK,36001,ALBANY,16687,1707,polygon,True,3,True,"Albany-Schenectady-Troy, NY MSA",2p2c,13482.93,10853.53416,13704.0672,16336.5588,8818.06056,14309.196,104415.3636,97041.21875
2465,OKLAHOMA,CHEROKEE,"1,509",2,0.0,0,0,2,20,8,10,2,CHEROKEE,Cherokee,OKLAHOMA,40003,ALFALFA,1489,390,polygon,True,3,False,"Alfalfa County, OK",2p2c,9036.0,9084.58812,16511.5128,19327.0308,6565.80396,9472.64064,83661.8088,75357.734375
2474,MICHIGAN,MUNISING,"2,177",7,1.0,0,0,6,40,6,33,1,MUNISING,Munising,MICHIGAN,26003,ALGER,2780,161,polygon,True,3,False,"Alger County, MI",2p2c,8808.0,9144.55296,15637.3248,17559.0612,6504.91848,8679.85176,79817.1504,60201.78515625
2480,IOWA,POSTVILLE,"2,065",4,0.0,1,1,2,43,5,37,1,POSTVILLE,Postville,IOWA,19005,ALLAMAKEE,2053,375,polygon,True,3,False,"Allamakee County, IA",2p2c,8580.0,8754.78516,15238.746,15331.7196,6281.07636,7661.91792,72170.0448,70652.8203125
2490,IOWA,WAUKON,"3,654",10,0.0,0,0,10,77,15,60,2,WAUKON,Waukon,IOWA,19005,ALLAMAKEE,3625,470,polygon,True,3,False,"Allamakee County, IA",2p2c,8580.0,8754.78516,15238.746,15331.7196,6281.07636,7661.91792,72170.0448,70652.8203125
2500,IOWA,LANSING,941,1,0.0,0,0,1,22,4,17,1,LANSING,Lansing,IOWA,19005,ALLAMAKEE,935,335,polygon,True,3,False,"Allamakee County, IA",2p2c,8580.0,8754.78516,15238.746,15331.7196,6281.07636,7661.91792,72170.0448,70652.8203125
2513,MICHIGAN,PLAINWELL,"3,804",11,0.0,2,0,9,53,5,45,3,PLAINWELL,Plainwell,MICHIGAN,26005,ALLEGAN,3777,732,polygon,True,3,False,"Allegan County, MI",2p2c,10272.0,8574.89136,15227.2416,13786.9512,6828.97188,8194.72632,77450.016,75065.09375
2523,MICHIGAN,HOPKINS,611,0,0.0,0,0,0,0,0,0,0,HOPKINS,Hopkins,MICHIGAN,26005,ALLEGAN,607,489,polygon,True,3,False,"Allegan County, MI",2p2c,10272.0,8574.89136,15227.2416,13786.9512,6828.97188,8194.72632,77450.016,75065.09375
2533,MICHIGAN,ALLEGAN,"5,038",10,0.0,4,1,5,47,1,42,4,ALLEGAN,Allegan,MICHIGAN,26005,ALLEGAN,6350,503,polygon,True,3,False,"Allegan County, MI",2p2c,10272.0,8574.89136,15227.2416,13786.9512,6828.97188,8194.72632,77450.016,75065.09375
2543,MICHIGAN,OTSEGO,"4,007",0,0.0,0,0,0,37,10,24,3,OTSEGO,Otsego,MICHIGAN,26005,ALLEGAN,11852,768,polygon,True,3,False,"Allegan County, MI",2p2c,10272.0,8574.89136,15227.2416,13786.9512,6828.97188,8194.72632,77450.016,75065.09375
2553,MICHIGAN,FENNVILLE,"1,421",0,0.0,0,0,0,3,0,3,0,FENNVILLE,Fennville,MICHIGAN,26005,ALLEGAN,1429,505,polygon,True,3,False,"Allegan County, MI",2p2c,10272.0,8574.89136,15227.2416,13786.9512,6828.97188,8194.72632,77450.016,75065.09375
2563,MICHIGAN,WAYLAND,"4,272",14,0.0,6,1,7,58,13,43,2,WAYLAND,Wayland,MICHIGAN,26005,ALLEGAN,4679,550,polygon,True,3,False,"Allegan County, MI",2p2c,10272.0,8574.89136,15227.2416,13786.9512,6828.97188,8194.72632,77450.016,75065.09375
2580,MARYLAND,FROSTBURG,"8,510",14,0.0,0,4,10,153,28,114,11,FROSTBURG,Frostburg,MARYLAND,24001,ALLEGANY,8505,982,polygon,True,3,False,"Allegany County, NY",2p2c,8808.0,10014.03444,15182.7528,14226.0396,6819.96528,8565.05496,80189.3316,61645.5
2600,MARYLAND,LUKE,61,0,0.0,0,0,0,0,0,0,0,LUKE,Luke,MARYLAND,24001,ALLEGANY,60,86,polygon,True,3,False,"Allegany County, NY",2p2c,8808.0,10014.03444,15182.7528,14226.0396,6819.96528,8565.05496,80189.3316,61645.5
2620,MARYLAND,CUMBERLAND,"19,321",151,0.0,9,33,109,869,216,627,26,CUMBERLAND,Cumberland,MARYLAND,24001,ALLEGANY,47980,740,polygon,True,3,False,"Allegany County, NY",2p2c,8808.0,10014.03444,15182.7528,14226.0396,6819.96528,8565.05496,80189.3316,61645.5
2630,VIRGINIA,CLIFTON FORGE,"3,465",8,0.0,1,0,7,43,5,35,3,CLIFTON FORGE,Clifton Forge,VIRGINIA,51005,ALLEGHANY,4778,446,polygon,True,3,False,"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmet",2p2c,8951.86152,9264.48048,15413.5044,15842.3172,6600.49956,8079.83568,75471.6216,60513.9375
2650,PENNSYLVANIA,CRAFTON,"6,178",12,0.0,0,1,11,168,5,160,3,CRAFTON,Crafton,PENNSYLVANIA,42003,ALLEGHENY,5770,1948,polygon,True,3,True,"Pittsburgh, PA HUD Metro FMR Area",2p2c,11997.60792,9624.26664,13287.1728,10563.48408,7834.45752,8824.07808,81142.6116,87770.0078125
2660,PENNSYLVANIA,BRACKENRIDGE,"3,140",7,0.0,1,1,5,33,1,29,3,BRACKENRIDGE,Brackenridge,PENNSYLVANIA,42003,ALLEGHENY,3135,2366,polygon,True,2,True,"Pittsburgh, PA HUD Metro FMR Area",2p2c,11997.60792,9624.26664,13287.1728,10563.48408,7834.45752,8824.07808,81142.6116,87770.0078125
2670,PENNSYLVANIA,ELIZABETH,"1,966",3,0.0,0,0,3,1,0,1,0,ELIZABETH,Elizabeth,PENNSYLVANIA,42003,ALLEGHENY,1476,1664,polygon,True,3,True,"Pittsburgh, PA HUD Metro FMR Area",2p2c,11997.60792,9624.26664,13287.1728,10563.48408,7834.45752,8824.07808,81142.6116,87770.0078125
2680,PENNSYLVANIA,BEN AVON HEIGHTS,362,0,0.0,0,0,0,3,0,3,0,BEN AVON HEIGHTS,Ben Avon Heights,PENNSYLVANIA,42003,ALLEGHENY,363,808,polygon,True,3,True,"Pittsburgh, PA HUD Metro FMR Area",2p2c,11997.60792,9624.26664,13287.1728,10563.48408,7834.45752,8824.07808,81142.6116,87770.0078125
2690,PENNSYLVANIA,INGRAM,"3,212",5,0.0,0,1,4,19,4,15,0,INGRAM,Ingram,PENNSYLVANIA,42003,ALLEGHENY,3198,2850,polygon,True,2,True,"Pittsburgh, PA HUD Metro FMR Area",2p2c,11997.60792,9624.26664,13287.1728,10563.48408,7834.45752,8824.07808,81142.6116,87770.0078125
