State,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
,Coolidge5,"13,138",70,2,2,5,61,393,73,290,30,5
,Cottonwood,"12,331",45,0,0,5,40,422,37,359,26,2
,Douglas,"15,786",10,0,0,0,10,594,88,486,20,0
,Eagar5,"4,897",11,0,3,1,7,21,7,13,1,0
,El Mirage,"36,185",84,2,22,14,46,982,362,523,97,5
,Flagstaff,"75,013",367,1,42,43,281,"2,371",140,"2,169",62,33
,Florence,"26,385",44,1,5,1,37,74,9,58,7,0
,Fredonia,"1,296",1,0,0,0,1,13,3,8,2,0
,Gilbert,"253,619",245,1,48,45,151,"3,050",403,"2,493",154,11
,Glendale,"253,951",863,17,63,233,550,"8,083","1,416","5,857",810,
,Globe,"7,323",134,0,0,4,130,525,70,424,31,1
,Goodyear,"85,305",172,1,33,19,119,"2,045",330,"1,608",107,0
,Hayden,979,8,0,0,1,7,35,19,13,3,2
,Holbrook,"5,098",39,0,1,6,32,324,86,212,26,3
,Huachuca City,"1,723",6,1,4,0,1,20,6,12,2,0
,Jerome,459,1,0,0,0,1,19,7,12,0,0
,Kearny,"2,170",1,0,1,0,0,14,7,6,1,1
,Kingman,"30,600",100,0,9,12,79,"1,342",208,"1,039",95,28
,Lake Havasu City,"55,413",87,1,29,3,54,670,108,519,43,2
,Mammoth,"1,669",3,0,0,1,2,14,0,12,2,0
,Marana,"48,816",35,0,7,9,19,"1,132",70,"1,020",42,2
,Maricopa,"50,881",85,1,11,4,69,604,58,491,55,2
,Mesa,"518,160","1,953",11,286,390,"1,266","9,683","1,518","7,326",839,27
,Miami,"1,768",27,0,0,3,24,31,30,1,0,1
,Nogales,"20,112",41,0,0,0,41,608,66,409,133,0
,Oro Valley,"45,970",22,1,8,3,10,588,49,515,24,0
,Page,"7,588",126,1,9,9,107,537,53,456,28,0
,Paradise Valley,"14,733",10,0,5,2,3,161,35,119,7,0
,Parker,"3,219",2,0,0,1,1,81,20,56,5,0
,Payson,"15,760",59,0,1,4,54,288,60,208,20,3
,Peoria,"174,571",407,4,70,83,250,"3,273",438,"2,592",243,9
,Phoenix,"1,688,722","11,803",131,"1,139","3,197","7,336","55,974","9,471","39,427","7,076",201
,Pima,"2,530",0,0,0,0,0,36,10,21,5,0
,Pinetop-Lakeside,"4,452",21,0,4,1,16,143,32,104,7,0
,Prescott,"43,781",214,1,20,11,182,684,134,518,32,5
,Prescott Valley,"46,700",93,3,11,6,73,474,51,404,19,2
,Safford,"9,916",21,0,0,0,21,363,33,311,19,0
,Sahuarita,"30,928",43,1,11,6,25,345,44,272,29,3
,San Luis5,"34,192",33,0,0,2,31,420,53,262,105,2
,Scottsdale,"260,464",415,3,136,110,166,"5,099",662,"4,173",264,15
,Show Low,"11,401",59,0,6,2,51,332,38,277,17,0
,Sierra Vista,"44,310",116,2,7,16,91,987,124,800,63,3
,Snowflake-Taylor,"10,173",53,1,0,1,51,151,51,85,15,0
,Somerton5,"16,771",36,6,1,4,25,129,25,80,24,0
,Springerville,"1,984",0,0,0,0,0,11,4,7,0,0
,St. Johns,"3,520",12,1,4,1,6,59,29,29,1,1
,Surprise,"140,962",138,4,28,46,60,"2,083",217,"1,729",137,10
,Tempe,"196,499",889,8,141,209,531,"7,420",922,"5,891",607,19
,Thatcher,"5,177",3,0,0,0,3,112,12,99,1,0
,Tolleson,"7,399",68,0,4,20,44,666,206,390,70,0
,Tucson,"548,374","3,775",40,527,"1,105","2,103","17,943","2,497","13,196","2,250",142
,Wellton,"3,048",5,0,1,0,4,31,9,20,2,0
,Wickenburg,"7,054",17,0,4,0,13,148,32,93,23,0
,Willcox,"3,507",7,0,0,0,7,127,29,89,9,1
,Williams,"3,251",26,0,0,0,26,66,8,52,6,0
,Winslow,"9,393",126,0,4,9,113,445,35,380,30,2
,Yuma,"98,769",376,11,27,29,309,"2,302",483,"1,586",233,14
ARKANSAS,Alexander,"3,315",15,0,6,0,9,73,16,54,3,0
,Alma,"5,888",35,0,18,2,15,228,36,181,11,0
,Altus,729,0,0,0,0,0,22,10,12,0,0
,Amity,675,1,0,0,0,1,2,0,2,0,0
,Ashdown,"4,370",13,0,3,0,10,102,22,74,6,0
,Ash Flat,"1,095",5,0,0,0,5,40,3,36,1,0
,Atkins,"3,037",11,0,6,0,5,76,7,60,9,0
,Augusta,"1,939",12,0,5,0,7,31,4,25,2,0
,Austin,"3,973",4,0,0,0,4,21,7,13,1,0
,Bald Knob,"2,872",23,0,9,2,12,118,23,89,6,1
,Barling,"5,010",28,0,9,0,19,75,5,66,4,0
,Batesville,"10,889",29,0,5,2,22,262,37,212,13,0
,Bay,"1,805",3,0,0,1,2,24,5,17,2,0
,Bearden,859,1,0,0,0,1,7,1,5,1,0
,Beebe,"8,242",23,0,9,0,14,273,38,218,17,0
,Bella Vista,"28,931",49,0,17,0,32,188,39,144,5,1
,Benton,"37,161",212,4,18,27,163,"1,328",202,"1,000",126,6
,Bentonville,"53,434",119,1,21,9,88,734,80,623,31,1
,Berryville,"5,547",25,0,11,4,10,193,48,135,10,2
,Bethel Heights,"2,810",4,0,4,0,0,18,3,14,1,0
,Blytheville,"13,468",109,10,5,16,78,629,98,528,3,0
,Bono,"2,444",6,0,3,0,3,28,6,19,3,0
,Booneville,"3,829",17,1,2,0,14,107,34,70,3,0
,Bradford,732,2,0,0,0,2,8,0,7,1,0
,Brinkley,"2,623",29,0,1,1,27,80,25,42,13,2
,Brookland,"3,759",7,0,5,0,2,60,9,50,1,1
,Bryant,"21,214",32,1,5,3,23,888,45,783,60,3
,Bull Shoals,"1,971",2,0,0,0,2,21,6,14,1,0
,Cabot,"26,875",100,0,39,3,58,371,62,256,53,2
,Caddo Valley,588,1,0,1,0,0,34,2,30,2,0
,Camden,"10,742",113,0,8,10,95,373,84,274,15,4
,Cammack Village,720,0,0,0,0,0,14,1,12,1,0
,Carlisle,"2,184",4,0,1,2,1,51,11,39,1,0
,Cave Springs,"5,580",3,0,2,0,1,20,3,16,1,0
,Cedarville,"1,413",10,0,2,1,7,19,2,12,5,0
,Centerton,"16,542",53,2,21,1,29,139,35,96,8,0
,Charleston,"2,454",7,0,2,0,5,24,8,16,0,0
,Cherokee Village,"4,634",10,0,2,0,8,78,31,45,2,0
,Cherry Valley,583,1,0,0,0,1,8,4,4,0,0
,Clarksville,"9,813",29,0,15,3,11,240,15,215,10,0
,Clinton,"2,489",8,0,3,1,4,113,22,85,6,0
,Conway,"67,336",324,2,49,51,222,"1,842",177,"1,567",98,8
,Corning,"3,093",10,0,2,0,8,41,13,22,6,0
,Cotter,940,3,0,1,0,2,17,6,10,1,0
,Crossett,"4,846",30,0,3,2,25,187,78,102,7,0
,Damascus,377,0,0,0,0,0,4,0,4,0,0
,Dardanelle,"4,555",28,1,10,1,16,114,35,69,10,0
,Decatur,"1,813",17,0,8,0,9,46,9,34,3,0
,De Queen,"6,593",33,0,10,0,23,172,64,104,4,0
,Des Arc,"1,580",8,0,0,0,8,20,9,11,0,0
,DeWitt,"3,019",28,0,6,1,21,84,28,51,5,4
,Diaz,"1,197",1,0,0,0,1,14,5,4,5,0
,Dover,"1,434",8,0,0,0,8,30,4,24,2,1
,Dumas,"4,084",15,1,1,1,12,33,14,18,1,0
,Earle,"2,201",15,0,1,1,13,46,20,24,2,0
,El Dorado,"17,820",239,3,16,23,197,996,524,431,41,4
,Elkins,"3,246",24,0,9,0,15,27,3,22,2,1
,England,"2,723",21,0,4,2,15,87,28,57,2,0
,Etowah,317,0,0,0,0,0,4,1,3,0,0
,Eudora,"1,930",4,0,1,2,1,32,12,20,0,0
,Eureka Springs,"2,092",22,0,4,3,15,95,28,60,7,0
,Fairfield Bay,"2,202",10,1,4,0,5,40,9,29,2,2
,Farmington,"7,387",33,0,14,3,16,67,8,53,6,3
,Fayetteville,"88,500",396,3,56,52,285,"3,966",398,"3,146",422,2
,Flippin,"1,340",5,0,2,0,3,61,11,47,3,0
,Fordyce,"3,745",42,0,6,6,30,213,63,138,12,2
,Forrest City,"13,887",129,2,8,20,99,668,85,457,126,4
,Fort Smith,"88,041",863,4,97,90,672,"5,127",812,"3,929",386,11
,Gassville,"2,156",9,2,2,1,4,51,6,42,3,0
,Gentry,"3,924",15,0,1,0,14,21,1,18,2,0
,Glenwood,"2,095",2,0,0,0,2,24,9,12,3,0
,Gosnell,"3,148",14,0,2,1,11,46,19,25,2,0
,Gravette,"3,443",14,0,1,1,12,77,13,59,5,0
,Greenbrier,"5,660",10,0,7,0,3,16,0,11,5,0
,Green Forest,"2,763",18,0,6,0,12,66,18,46,2,0
,Greenland,"1,450",6,0,1,0,5,15,0,12,3,0
,Greenwood,"9,436",23,0,1,0,22,36,11,25,0,1
,Gurdon,"2,069",19,0,5,0,14,32,8,19,5,0
,Hamburg,"2,636",18,1,1,0,16,16,7,8,1,1
,Harrisburg,"2,368",18,0,8,0,10,37,5,28,4,0
,Harrison,"13,107",50,0,9,2,39,350,50,272,28,3
,Haskell,"4,715",16,0,5,0,11,75,14,58,3,1
,Hazen,"1,336",5,0,1,0,4,26,10,11,5,0
,Heber Springs,"6,912",24,0,8,1,15,231,45,180,6,0
,Helena-West Helena,"10,187",187,11,17,17,142,578,167,364,47,11
,Highland,"1,100",4,0,0,0,4,17,5,11,1,0
,Hope,"9,666",70,0,12,4,54,396,96,278,22,0
,Hot Springs,"37,263",241,10,38,42,151,"2,674",755,"1,710",209,8
,Hoxie,"2,588",5,0,0,0,5,24,8,15,1,1
,Jacksonville,"28,273",271,0,26,42,203,"1,484",281,"1,027",176,1
,Jericho,106,0,0,0,0,0,0,0,0,0,0
,Johnson,"3,781",6,0,1,1,4,85,32,41,12,0
,Jonesboro,"78,261",537,13,74,58,392,"2,982","1,092","1,758",132,2
,Judsonia,"1,981",12,0,3,1,8,29,6,23,0,0
,Kensett,"1,618",7,0,1,0,6,18,3,14,1,1
,Lake City,"2,598",4,0,1,1,2,19,8,9,2,0
,Lakeview,715,4,1,0,0,3,12,2,8,2,0
,Lake Village,"2,241",20,2,4,4,10,68,16,50,2,1
,Lamar,"1,740",0,0,0,0,0,25,4,21,0,0
,Lincoln,"2,500",9,0,4,0,5,51,12,34,5,0
,Little Flock,"2,791",10,0,2,1,7,35,8,24,3,0
,Little Rock,"198,382","3,009",38,209,391,"2,371","12,145","1,760","9,316","1,069",45
,Lonoke,"4,261",22,0,4,2,16,127,15,108,4,1
,Lowell,"9,723",28,0,3,1,24,117,38,71,8,0
,Luxora,"1,016",1,0,0,1,0,3,2,1,0,0
,Madison,685,3,0,0,1,2,5,2,3,0,0
,Magnolia,"11,440",14,0,2,1,11,295,95,198,2,2
,Marianna,"3,398",28,2,5,2,19,154,52,89,13,2
,Marion,"12,344",122,0,12,11,99,379,61,291,27,1
,Marked Tree,"2,462",17,0,0,0,17,50,13,31,6,0
,Marmaduke,"1,264",6,0,0,1,5,47,11,35,1,0
,Marshall,"1,297",3,0,1,0,2,12,3,8,1,1
,Maumelle,"18,223",28,2,3,5,18,301,64,218,19,2
,Mayflower,"2,489",10,0,2,1,7,66,16,46,4,0
,McCrory,"1,513",11,0,2,0,9,33,9,19,5,0
,McGehee,"3,681",31,0,8,0,23,95,34,59,2,0
,McRae,661,1,0,0,0,1,4,2,2,0,0
,Mena,"5,508",3,0,2,0,1,223,29,186,8,2
,Menifee,316,0,0,0,0,0,2,2,0,0,0
,Mineral Springs,"1,148",1,0,0,0,1,13,5,6,2,0
,Monette,"1,603",1,0,1,0,0,22,6,16,0,0
,Monticello,"9,438",38,0,10,5,23,289,45,229,15,6
,Morrilton,"6,631",26,0,11,2,13,240,9,225,6,1
,Mountainburg,608,7,0,2,0,5,28,5,21,2,0
,Mountain Home,"12,458",32,0,19,1,12,486,48,423,15,0
,Mountain View,"2,850",9,0,1,0,8,99,30,66,3,0
,Mulberry,"1,644",14,0,3,0,11,61,10,50,1,0
,Murfreesboro,"1,533",4,0,1,0,3,12,3,9,0,0
,Nashville,"4,403",27,0,13,0,14,130,18,108,4,0
,Newport,"7,485",92,1,12,3,76,369,70,289,10,1
,Norfork,533,0,0,0,0,0,1,0,1,0,0
,North Little Rock,"66,604",562,12,23,106,421,"2,479",380,"1,723",376,17
,Osceola,"6,653",172,4,15,7,146,316,151,144,21,7
,Ozark,"3,573",29,0,6,1,22,86,44,40,2,0
,Paragould,"29,245",307,0,29,13,265,"1,378",188,"1,083",107,4
,Paris,"3,392",22,0,3,2,17,94,32,59,3,1
,Pea Ridge,"6,230",24,0,4,0,20,69,9,52,8,0
,Perryville,"1,454",3,2,0,0,1,29,3,20,6,0
,Piggott,"3,569",17,0,7,0,10,52,13,36,3,0
,Pine Bluff4,"41,505",644,23,23,96,502,,,"1,448",271,39
,Plumerville,773,0,0,0,0,0,11,2,9,0,0
,Pocahontas,"6,647",43,0,21,1,21,216,31,171,14,1
,Pottsville,"3,332",13,0,1,0,12,18,7,11,0,1
,Prairie Grove,"6,595",16,1,6,0,9,134,27,103,4,0
,Prescott4,"2,985",6,0,3,0,3,,,34,4,1
,Quitman,711,2,0,0,0,2,22,1,21,0,0
,Ravenden,443,2,0,0,0,2,5,0,5,0,0
,Redfield,"1,564",4,0,2,0,2,23,11,11,1,0
,Rogers,"69,168",330,1,87,21,221,"1,968",166,"1,699",103,6
,Rose Bud,483,0,0,0,0,0,11,2,8,1,0
,Russellville,"29,446",140,0,13,9,118,897,109,729,59,2
,Salem,"1,637",2,0,1,0,1,15,7,7,1,0
,Searcy,"23,873",199,4,15,21,159,"1,042",230,756,56,0
,Shannon Hills,"4,017",17,0,5,1,11,62,27,21,14,1
,Sheridan4,"4,954",14,0,4,1,9,,20,,7,0
,Sherwood,"31,435",195,1,17,13,164,928,214,625,89,4
,Siloam Springs,"17,235",70,0,15,4,51,458,96,307,55,4
,Star City,"2,058",17,1,2,2,12,48,12,30,6,0
,St. Charles,208,0,0,0,0,0,3,1,2,0,0
,Stuttgart,"8,589",101,1,10,5,85,302,69,219,14,5
,Sulphur Springs,534,10,0,1,0,9,7,3,4,0,0
,Swifton,727,1,0,0,0,1,7,1,6,0,0
,Texarkana,"29,971",183,4,13,27,139,"1,130",215,847,68,3
,Trumann,"7,043",41,0,15,4,22,321,72,236,13,0
,Tuckerman,"1,671",9,0,3,0,6,34,13,17,4,0
,Van Buren,"23,800",117,0,14,7,96,752,149,541,62,0
,Vilonia,"4,762",5,0,0,1,4,55,9,43,3,0
,Waldron,"3,332",15,0,4,0,11,112,37,74,1,2
,Walnut Ridge,"5,019",11,0,2,0,9,69,20,41,8,0
,Ward,"5,454",64,0,12,1,51,103,31,69,3,1
,Warren,"5,634",24,0,4,1,19,146,55,86,5,0
,Weiner,679,4,0,1,0,3,12,4,7,1,0
,West Fork,"2,672",5,0,1,1,3,34,7,26,1,0
,West Memphis,"24,442",485,8,33,57,387,"1,225",336,756,133,9
,White Hall,"5,014",5,0,0,2,3,69,26,34,9,0
,Wilson,819,0,0,0,0,0,12,0,12,0,0
,Wynne,"7,812",79,1,8,4,66,292,80,194,18,4
CALIFORNIA,Adelanto,"34,491",276,1,20,42,213,459,136,209,114,14
,Agoura Hills,"20,490",21,0,6,4,11,306,66,223,17,0
,Alameda,"78,907",162,0,7,94,61,"2,579",218,"1,958",403,29
,Albany,"20,083",40,0,8,21,11,685,105,534,46,1
,Alhambra,"84,837",161,2,11,89,59,"1,749",259,"1,303",187,8
,Aliso Viejo,"52,247",27,1,3,13,10,433,57,351,25,1
,Alturas,"2,471",10,0,2,1,7,30,14,13,3,0
,American Canyon,"20,452",53,0,7,7,39,454,59,368,27,3
,Anaheim,"353,915","1,120",8,141,396,575,"8,258","1,123","5,904","1,231",44
,Anderson,"10,545",61,1,5,12,43,363,63,208,92,1
,Angels Camp,"3,909",6,0,2,1,3,74,19,45,10,0
,Antioch,"112,641",648,12,55,238,343,"3,199",511,"2,078",610,59
,Apple Valley,"74,051",339,4,19,68,248,"1,105",230,660,215,11
,Arcadia,"58,899",84,1,10,35,38,"1,348",301,973,74,3
,Arcata,"18,332",72,1,12,16,43,605,122,425,58,21
,Arroyo Grande,"18,188",27,0,2,7,18,275,35,219,21,3
,Artesia,"16,779",72,1,2,28,41,284,90,161,33,0
,Arvin,"21,811",196,3,3,16,174,437,115,178,144,16
,Atascadero,"30,579",65,0,7,7,51,493,96,360,37,3
,Atherton,"7,222",12,0,2,4,6,110,32,74,4,0
,Atwater,"29,632",206,1,10,22,173,"1,031",140,708,183,0
,Auburn,"14,201",50,0,8,5,37,237,72,146,19,5
,Avalon,"3,722",10,0,2,0,8,40,7,28,5,0
,Avenal,"12,991",69,0,7,3,59,58,26,28,4,0
,Azusa,"50,405",144,5,17,46,76,959,174,646,139,12
,Bakersfield,"388,080","1,766",34,116,701,915,"16,074","3,888","9,277","2,909",470
,Baldwin Park,"75,862",188,1,24,50,113,"1,110",196,606,308,5
,Banning,"31,450",136,2,16,27,91,532,179,210,143,0
,Barstow,"24,121",274,5,10,82,177,986,285,527,174,37
,Bear Valley,"5,507",11,0,7,0,4,44,6,36,2,0
,Beaumont,"50,990",92,2,14,38,38,922,178,548,196,11
,Bell,"35,759",168,0,11,37,120,441,127,224,90,0
,Bellflower,"77,196",327,1,29,107,190,"1,506",326,860,320,7
,Bell Gardens,"42,366",147,0,4,69,74,630,78,334,218,4
,Belmont,"27,272",45,1,8,1,35,392,50,312,30,2
,Belvedere,"2,114",1,0,0,0,1,15,2,13,0,0
,Benicia,"28,471",16,0,1,13,2,377,72,250,55,2
,Berkeley,"122,788",618,0,74,369,175,"6,256",771,"4,993",492,17
,Beverly Hills,"34,211",103,1,6,52,44,"1,499",257,"1,197",45,6
,Big Bear,"5,311",76,0,7,4,65,135,30,92,13,0
,Biggs,"1,726",3,0,1,0,2,17,3,10,4,0
,Bishop,"3,731",34,0,9,6,19,183,29,150,4,0
,Blythe,"19,889",92,0,7,29,56,644,177,434,33,44
,Bradbury,"1,089",1,0,0,1,0,10,2,6,2,0
,Brawley,"26,379",121,2,4,8,107,618,95,468,55,15
,Brea,"44,155",72,0,10,29,33,"1,450",169,"1,209",72,3
,Brentwood,"65,483",166,0,16,67,83,"1,335",142,"1,095",98,11
,Brisbane,"4,746",10,0,2,0,8,137,64,52,21,1
,Broadmoor,"4,446",11,0,2,7,2,82,15,55,12,0
,Buellton,"5,142",3,0,0,0,3,54,15,31,8,0
,Buena Park,"82,627",246,1,15,91,139,"2,061",230,"1,567",264,1
,Burbank,"103,738",189,1,11,54,123,"2,617",299,"2,107",211,4
,Burlingame,"30,677",74,0,9,25,40,"1,185",162,937,86,4
,Calabasas,"24,016",35,1,6,15,13,331,81,226,24,1
,Calexico,"40,327",94,0,3,21,70,894,244,470,180,56
,California City,"14,319",83,0,13,15,55,281,102,120,59,3
,Calimesa,"9,073",22,0,0,7,15,280,51,193,36,0
,Calistoga,"5,341",6,0,0,0,6,70,7,54,9,0
,Camarillo,"69,628",58,0,22,16,20,817,100,676,41,2
,Campbell,"42,697",89,0,22,21,46,"1,357",209,990,158,13
,Canyon Lake,"11,353",15,0,0,1,14,74,15,47,12,0
,Capitola,"10,101",30,0,3,6,21,528,53,454,21,2
,Carlsbad,"117,220",240,3,40,39,158,"2,135",297,"1,671",167,11
,Carmel,"3,877",11,0,0,0,11,103,20,81,2,0
,Carpinteria,"13,514",11,1,0,3,7,155,19,116,20,0
,Carson,"91,947",444,5,31,122,286,"2,004",328,"1,277",399,14
,Cathedral City,"55,346",144,7,19,48,70,602,182,227,193,4
,Central Marin,"34,793",32,0,6,10,16,"1,094",360,684,50,0
,Ceres,"49,134",209,1,12,59,137,"1,158",239,628,291,20
,Cerritos,"50,642",127,1,10,65,51,"1,634",314,"1,198",122,0
,Chico,"95,826",557,0,100,104,353,"2,406",272,"1,753",381,48
,Chino,"93,348",329,3,35,96,195,"2,224",376,"1,649",199,5
,Chino Hills,"84,577",95,1,10,20,64,891,222,606,63,5
,Chowchilla,"18,792",39,0,2,3,34,234,71,109,54,7
,Chula Vista,"275,230",904,3,61,265,575,"3,816",486,"2,503",827,36
,Citrus Heights,"88,496",313,1,46,76,190,"2,248",372,"1,607",269,7
,Claremont,"36,681",51,0,6,23,22,774,191,552,31,7
,Clayton,"12,356",1,0,0,1,0,155,14,137,4,0
,Clearlake,"15,400",119,1,19,36,63,460,146,210,104,11
,Cloverdale,"8,910",16,0,1,0,15,116,25,87,4,1
,Clovis,"114,170",243,0,54,32,157,"2,276",307,"1,810",159,6
,Coachella,"46,485",126,0,9,43,74,894,135,580,179,5
,Coalinga,"16,356",41,0,2,4,35,217,38,159,20,4
,Colma,"1,512",28,0,0,20,8,325,36,263,26,2
,Colton,"55,059",215,1,9,103,102,"1,517",317,836,364,8
,Colusa,"5,903",6,0,4,1,1,78,28,34,16,0
,Commerce,"12,804",138,1,5,49,83,"1,004",128,624,252,16
,Compton,"96,638","1,104",18,40,427,619,"2,346",334,"1,285",727,44
,Concord,"130,615",541,2,67,234,238,"4,560",434,"3,512",614,23
,Corcoran,"21,353",118,1,8,12,97,272,65,157,50,5
,Corning,"7,537",28,0,6,4,18,211,51,127,33,1
,Corona,"170,875",291,4,43,103,141,"3,482",646,"2,251",585,28
,Coronado,"21,115",9,0,1,7,1,324,34,276,14,2
,Costa Mesa,"114,047",312,0,52,104,156,"3,739",450,"2,934",355,16
,Cotati,"7,641",40,1,6,5,28,95,15,68,12,1
,Covina,"47,985",171,2,25,43,101,"1,189",239,779,171,11
,Crescent City,"6,716",23,0,2,8,13,311,59,238,14,6
,Cudahy,"23,828",89,2,2,29,56,214,39,111,64,3
,Culver City,"39,252",182,0,2,102,78,"1,647",172,"1,380",95,1
,Cupertino,"60,357",55,1,6,14,34,"1,018",175,803,40,1
,Cypress,"49,085",52,1,7,21,23,596,98,424,74,2
,Daly City,"107,748",232,0,44,91,97,"1,868",170,"1,517",181,12
,Dana Point,"33,779",52,0,0,18,34,399,61,311,27,0
,Danville,"44,997",23,1,5,7,10,296,36,247,13,1
,Davis,"69,767",107,2,21,44,40,"2,190",274,"1,816",100,4
,Delano,"53,002",205,8,8,33,156,"1,118",203,603,312,40
,Del Mar,"4,369",7,0,1,2,4,67,17,37,13,0
,Del Rey Oaks,"1,674",7,0,0,6,1,39,8,30,1,0
,Desert Hot Springs,"29,107",255,5,13,59,178,680,301,216,163,4
,Diamond Bar,"56,364",72,1,4,25,42,908,282,574,52,2
,Dinuba,"24,685",161,1,5,25,130,530,58,405,67,20
,Dixon,"20,775",54,0,4,14,36,389,35,284,70,3
,Dorris,897,4,0,0,0,4,11,8,2,1,0
,Dos Palos,"5,594",64,0,0,2,62,169,36,89,44,3
,Downey,"112,330",352,4,30,151,167,"2,473",344,"1,566",563,4
,Duarte,"21,550",55,0,2,10,43,305,48,215,42,1
,Dublin,"66,072",107,0,7,43,57,"1,259",114,"1,052",93,3
,Dunsmuir,"1,564",14,0,4,0,10,18,6,11,1,0
,East Palo Alto,"29,686",144,1,22,57,64,533,67,360,106,6
,Eastvale,"66,310",83,0,3,23,57,944,151,676,117,0
,El Cajon,"103,686",552,3,38,201,310,"2,046",371,"1,316",359,15
,El Centro,"44,303",143,3,9,41,90,"1,184",228,861,95,7
,El Cerrito,"25,857",152,1,4,91,56,"1,300",166,"1,054",80,7
,Elk Grove,"175,492",372,0,35,114,223,"2,599",292,"2,107",200,10
,El Monte,"115,830",304,2,34,126,142,"1,787",347,"1,046",394,17
,El Segundo,"16,727",82,0,5,30,47,625,164,387,74,1
,Emeryville,"12,380",166,0,12,114,40,"2,623",95,"2,415",113,3
,Encinitas,"63,320",86,2,10,15,59,605,115,422,68,1
,Escalon,"7,644",16,0,1,0,15,135,25,102,8,1
,Escondido,"153,215",536,4,51,143,338,"2,373",379,"1,599",395,8
,Etna,716,2,0,1,0,1,0,0,0,0,0
,Eureka,"26,973",195,3,29,63,100,"1,350",187,977,186,24
,Exeter,"10,557",26,0,5,5,16,265,52,188,25,1
,Fairfax,"7,569",9,0,3,0,6,92,13,77,2,0
,Fairfield,"118,383",442,5,48,162,227,"3,782",359,"2,780",643,23
,Farmersville,"10,781",35,0,0,5,30,190,24,138,28,3
,Ferndale,"1,363",4,0,0,0,4,24,2,17,5,0
,Fillmore,"15,911",20,0,5,3,12,123,24,89,10,4
,Firebaugh,"8,433",11,0,2,2,7,103,15,51,37,0
,Folsom,"79,927",82,0,12,29,41,"1,484",278,"1,127",79,3
,Fontana,"215,883",739,6,83,206,444,"3,094",483,"1,846",765,9
,Fort Bragg,"7,366",32,0,5,7,20,316,38,262,16,1
,Fort Jones,690,2,0,1,0,1,34,12,21,1,0
,Fortuna,"12,317",28,0,2,9,17,317,50,231,36,7
,Foster City,"34,624",39,0,10,8,21,425,63,341,21,2
,Fountain Valley,"55,858",53,0,5,23,25,"1,163",163,914,86,7
,Fowler,"6,904",29,1,2,5,21,104,42,43,19,0
,Fremont,"240,887",400,1,36,159,204,"4,523",547,"3,408",568,17
,Fullerton,"140,194",373,2,80,108,183,"3,157",318,"2,479",360,13
,Galt,"26,796",77,0,10,15,52,449,71,340,38,7
